amfi_code,var_95,cvar_95,var_99,cvar_99,n_obs,scheme_name,category
119095,-2.618842440959034,-3.166729360598027,-3.420323155947458,-3.9844664615555523,1149,Axis Small Cap Fund - Regular - Growth,Small Cap
119120,-0.3938283121850803,-0.5013693153022243,-0.5460415709468476,-0.6604489434239312,1149,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt
119551,-1.284622862884257,-1.6396806934087627,-1.7875394391027237,-2.179034574105946,1149,SBI Bluechip Fund - Regular Plan - Growth,Large Cap
119552,-1.350097047993508,-1.733569966419981,-2.071312328377373,-2.290783445270858,1149,SBI Bluechip Fund - Direct Plan - Growth,Large Cap
119598,-2.45070519056771,-3.059526410880242,-3.3403084485918773,-3.883938516181186,1149,SBI Small Cap Fund - Regular Plan - Growth,Small Cap
119599,-2.6859435149613815,-3.238412245049217,-3.607820687588424,-3.9992817212645995,1149,SBI Small Cap Fund - Direct Plan - Growth,Small Cap
120503,-1.3550017162503478,-1.745055416552432,-1.9884953075966325,-2.2720899172585387,1149,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap
120504,-1.372819329593977,-1.7494143685606605,-1.941582444848441,-2.2148747555091552,1149,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap
120505,-1.8891786198692737,-2.434207039551982,-2.751796887773974,-3.1849756384783228,1149,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap
120506,-1.438846289908091,-1.940489860249691,-2.209079369699455,-2.5915413651979624,1149,ICICI Pru Value Discovery Fund - Regular - Growth,Value
120507,-0.022157351389344635,-0.037258039979649604,-0.050794894725243386,-0.05698897524535799,1149,ICICI Pru Liquid Fund - Regular - Growth,Liquid
120841,-1.3141782186804063,-1.6362736618343368,-1.8639747308174177,-2.0091848256907885,1149,Kotak Bluechip Fund - Regular - Growth,Large Cap
120842,-1.8218530452556077,-2.272497526268088,-2.566665067414931,-2.9749760809889563,1149,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap
120843,-1.4507941385630472,-1.8381077688017158,-2.0147953231926823,-2.4241378197051495,1149,Kotak Flexicap Fund - Regular - Growth,Flexi Cap
120844,-0.02847927282355607,-0.041099591933232454,-0.05059278503333023,-0.059056279777971975,1149,Kotak Liquid Fund - Regular - Growth,Liquid
125497,-1.459176907114046,-1.8309885328057915,-1.9818385877292304,-2.492424616370125,1149,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap
125498,-1.8365320169601014,-2.309379305316795,-2.509832270815472,-3.043370766116986,1149,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap
148567,-1.3559776417510558,-1.7622879905822202,-2.0137850148422594,-2.399764908582097,1149,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap
148568,-1.471153133351279,-1.8764769584230885,-2.1351439535812897,-2.289038519041923,1149,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap
148569,-1.7118192655621134,-2.13283058103281,-2.455086643833993,-2.7427452741448115,1149,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS
149322,-1.447385198379274,-1.8401747612732604,-1.9470940248995607,-2.468802849992046,1149,DSP Top 100 Equity Fund - Regular - Growth,Large Cap
149323,-1.7882076201903467,-2.2606642100420333,-2.625904825655338,-2.832505549582166,1149,DSP Midcap Fund - Regular - Growth,Mid Cap
149324,-2.348306938677715,-3.1036252021884407,-3.679002898500464,-4.083579775686336,1149,DSP Small Cap Fund - Regular - Growth,Small Cap
